
> school-attendance-web@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.12 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.135:3000
✓ Ready in 567ms

 GET /login 200 in 255ms (next.js: 35ms, proxy.ts: 28ms, application-code: 191ms)
 GET /login 200 in 256ms (next.js: 51ms, proxy.ts: 29ms, application-code: 175ms)
 GET /login 200 in 268ms (next.js: 93ms, proxy.ts: 26ms, application-code: 149ms)
 GET /login 200 in 268ms (next.js: 135ms, proxy.ts: 27ms, application-code: 105ms)
 GET /login 200 in 269ms (next.js: 109ms, proxy.ts: 27ms, application-code: 134ms)
 GET /login 200 in 296ms (next.js: 154ms, proxy.ts: 28ms, application-code: 113ms)
 GET /login 200 in 297ms (next.js: 170ms, proxy.ts: 29ms, application-code: 98ms)
 GET /login 200 in 285ms (next.js: 38ms, proxy.ts: 151ms, application-code: 95ms)
 GET /login 200 in 233ms (next.js: 13ms, proxy.ts: 9ms, application-code: 211ms)
 GET /login 200 in 246ms (next.js: 34ms, proxy.ts: 6ms, application-code: 206ms)
 GET /login 200 in 221ms (next.js: 17ms, proxy.ts: 35ms, application-code: 169ms)
 GET /login 200 in 221ms (next.js: 45ms, proxy.ts: 35ms, application-code: 142ms)
 GET /login 200 in 223ms (next.js: 30ms, proxy.ts: 35ms, application-code: 158ms)
 GET /login 200 in 197ms (next.js: 72ms, proxy.ts: 14ms, application-code: 111ms)
 GET /login 200 in 198ms (next.js: 84ms, proxy.ts: 14ms, application-code: 99ms)
 GET /login 200 in 204ms (next.js: 61ms, proxy.ts: 16ms, application-code: 126ms)
 GET /login 200 in 218ms (next.js: 99ms, proxy.ts: 15ms, application-code: 104ms)
 GET /login 200 in 231ms (next.js: 62ms, proxy.ts: 60ms, application-code: 109ms)
 GET /login 200 in 239ms (next.js: 79ms, proxy.ts: 59ms, application-code: 101ms)
 GET /login 200 in 240ms (next.js: 42ms, proxy.ts: 108ms, application-code: 91ms)
 GET /login 200 in 177ms (next.js: 15ms, proxy.ts: 6ms, application-code: 156ms)
 GET /login 200 in 178ms (next.js: 32ms, proxy.ts: 6ms, application-code: 140ms)
 GET /login 200 in 146ms (next.js: 31ms, proxy.ts: 35ms, application-code: 81ms)
 GET /login 200 in 146ms (next.js: 44ms, proxy.ts: 35ms, application-code: 68ms)
 GET /login 200 in 149ms (next.js: 15ms, proxy.ts: 34ms, application-code: 99ms)
 GET /login 200 in 127ms (next.js: 55ms, proxy.ts: 16ms, application-code: 56ms)
 GET /login 200 in 127ms (next.js: 69ms, proxy.ts: 16ms, application-code: 42ms)
 GET /login 200 in 119ms (next.js: 83ms, proxy.ts: 12ms, application-code: 24ms)
 GET /login 200 in 86ms (next.js: 4ms, proxy.ts: 4ms, application-code: 78ms)
 GET /login 200 in 36ms (next.js: 7ms, proxy.ts: 5ms, application-code: 25ms)
 GET /login 200 in 30ms (next.js: 4ms, proxy.ts: 4ms, application-code: 23ms)
✓ Compiled in 180ms
 GET /login 200 in 186ms (next.js: 54ms, proxy.ts: 36ms, application-code: 96ms)
 GET /login 200 in 146ms (next.js: 10ms, proxy.ts: 94ms, application-code: 42ms)
 GET /login 200 in 269ms (next.js: 10ms, proxy.ts: 7ms, application-code: 251ms)
 GET /login 200 in 72ms (next.js: 10ms, proxy.ts: 8ms, application-code: 54ms)
 GET /dashboard 200 in 178ms (next.js: 113ms, proxy.ts: 8ms, application-code: 58ms)
 GET /dashboard 200 in 153ms (next.js: 47ms, proxy.ts: 40ms, application-code: 66ms)
 GET /students 200 in 201ms (next.js: 147ms, proxy.ts: 5ms, application-code: 49ms)
 GET /student-accounts 200 in 173ms (next.js: 85ms, proxy.ts: 7ms, application-code: 80ms)
 GET /attendance 200 in 220ms (next.js: 148ms, proxy.ts: 5ms, application-code: 68ms)
 GET /student-accounts 200 in 59ms (next.js: 13ms, proxy.ts: 8ms, application-code: 37ms)
 GET /student-accounts 200 in 299ms (next.js: 9ms, proxy.ts: 6ms, application-code: 284ms)
 GET /students 200 in 53ms (next.js: 11ms, proxy.ts: 5ms, application-code: 36ms)
 GET /login 200 in 58ms (next.js: 10ms, proxy.ts: 8ms, application-code: 40ms)
 GET /login 200 in 85ms (next.js: 20ms, proxy.ts: 12ms, application-code: 54ms)
✓ Compiled in 197ms
 GET /login 200 in 297ms (next.js: 102ms, proxy.ts: 47ms, application-code: 148ms)
 GET /login 200 in 299ms (next.js: 153ms, proxy.ts: 46ms, application-code: 100ms)
 GET /login 200 in 139ms (next.js: 12ms, proxy.ts: 14ms, application-code: 112ms)
 GET /login 200 in 134ms (next.js: 24ms, proxy.ts: 12ms, application-code: 98ms)
 GET /login 200 in 84ms (next.js: 11ms, proxy.ts: 15ms, application-code: 59ms)
 GET /login 200 in 81ms (next.js: 33ms, proxy.ts: 14ms, application-code: 34ms)
 GET /login 200 in 128ms (next.js: 8ms, proxy.ts: 6ms, application-code: 114ms)
